x: -94, y: -221
x: -130.75854746037874, y: -150.18435383674512
x: -128.759571566089, y: -150.12035872717814
x: -126.76059567179925, y: -150.05636361761123
x: -124.7625051925512, y: -149.96898835372878
x: -122.76441471330327, y: -149.88161308984633
x: -120.76632423405522, y: -149.79423782596388
x: -118.76823375480728, y: -149.70686256208143
x: -116.77014327555924, y: -149.61948729819898
x: -114.7720527963113, y: -149.53211203431653
x: -112.77396231706325, y: -149.44473677043408
x: -110.77587183781532, y: -149.35736150655163
x: -108.77778135856727, y: -149.26998624266918
x: -106.77969087931933, y: -149.18261097878673
x: -104.78160040007128, y: -149.09523571490428
x: -102.78350992082335, y: -149.00786045102177
x: -100.7854194415753, y: -148.92048518713932
x: -98.78732896232736, y: -148.83310992325687
x: -96.78923848307932, y: -148.74573465937442
x: -94.79114800383138, y: -148.65835939549197
x: -92.79305752458333, y: -148.57098413160952
x: -90.7949670453354, y: -148.48360886772707
x: -88.79687656608735, y: -148.39623360384462
x: -86.79878608683941, y: -148.30885833996217
x: -84.80069560759136, y: -148.22148307607972
x: -82.80260512834343, y: -148.13410781219727
x: -80.80451464909538, y: -148.04673254831482
x: -78.80642416984745, y: -147.95935728443237
x: -76.8083336905994, y: -147.87198202054992
x: -74.81024321135146, y: -147.78460675666747
x: -72.81215273210341, y: -147.69723149278502
x: -70.81406225285548, y: -147.60985622890257
x: -68.81597177360743, y: -147.52248096502012
x: -66.8178812943595, y: -147.43510570113767
x: -64.81979081511145, y: -147.34773043725522
x: -62.82170033586351, y: -147.26035517337277
x: -60.82360985661546, y: -147.17297990949032
x: -58.82551937736753, y: -147.08560464560782
x: -56.82742889811948, y: -146.99822938172537
x: -54.829338418871544, y: -146.91085411784292
x: -52.831247939623495, y: -146.82347885396047
x: -50.83315746037556, y: -146.73610359007802
x: -48.83506698112751, y: -146.64872832619557
x: -46.836976501879576, y: -146.56135306231312
x: -44.83888602263153, y: -146.47397779843067
x: -42.84079554338359, y: -146.38660253454822
x: -40.842705064135544, y: -146.29922727066577
x: -38.84461458488761, y: -146.21185200678332
x: -36.84652410563956, y: -146.12447674290087
x: -34.85115251916068, y: -145.9884905970148
x: -32.85578093268191, y: -145.85250445112877
x: -30.860409346203028, y: -145.7165183052427
x: -28.86503775972426, y: -145.5805321593566
x: -26.869666173245378, y: -145.44454601347059
x: -24.87429458676661, y: -145.3085598675845
x: -22.878923000287728, y: -145.17257372169843
x: -20.883551413808846, y: -145.0365875758124
x: -18.888179827330077, y: -144.90060142992633
x: -16.892808240851195, y: -144.76461528404025
x: -14.897436654372427, y: -144.62862913815417
x: -12.902065067893545, y: -144.49264299226815
x: -10.906693481414777, y: -144.35665684638207
x: -8.911321894935895, y: -144.220670700496
x: -6.915950308457013, y: -144.08468455460996
x: -4.920578721978245, y: -143.94869840872389
x: -2.925207135499363, y: -143.8127122628378
x: -0.929835549020595, y: -143.67672611695178
x: 1.065536037458287, y: -143.5407399710657
x: 3.060907623937055, y: -143.40475382517963
x: 5.056279210415937, y: -143.2687676792936
x: 7.051650796894819, y: -143.13278153340752
x: 9.043113282711943, y: -142.94818151286887
x: 11.03457576852918, y: -142.76358149233016
x: 13.026038254346304, y: -142.5789814717915
x: 15.017500740163541, y: -142.3943814512528
x: 17.008963225980665, y: -142.20978143071414
x: 19.000425711797902, y: -142.02518141017543
x: 20.991888197615026, y: -141.84058138963678
x: 22.983350683432263, y: -141.65598136909807
x: 24.974813169249387, y: -141.47138134855942
x: 26.96627565506651, y: -141.28678132802077
x: 28.957738140883748, y: -141.10218130748206
x: 30.949200626700872, y: -140.9175812869434
x: 32.94066311251811, y: -140.7329812664047
x: 34.93212559833523, y: -140.54838124586604
x: 36.92358808415247, y: -140.36378122532733
x: 38.915050569969594, y: -140.17918120478868
x: 40.90651305578683, y: -139.99458118425002
x: 42.897975541603955, y: -139.8099811637113
x: 44.88943802742108, y: -139.62538114317266
x: 46.880900513238316, y: -139.44078112263395
x: 48.87236299905544, y: -139.2561811020953
x: 50.86382548487268, y: -139.0715810815566
x: 52.8552879706898, y: -138.88698106101793
x: 54.84675045650704, y: -138.70238104047922
x: 56.83821294232416, y: -138.51778101994057
x: 58.8296754281414, y: -138.33318099940192
x: 60.82113791395852, y: -138.1485809788632
x: 62.81260039977565, y: -137.96398095832456
x: 64.80406288559288, y: -137.77938093778585
x: 66.79552537141001, y: -137.5947809172472
x: 68.78698785722725, y: -137.41018089670848
x: 70.77845034304437, y: -137.22558087616983
x: 72.7699128288616, y: -137.04098085563118
x: 74.76137531467873, y: -136.85638083509247
x: 76.75283780049597, y: -136.6717808145538
x: 78.74430028631309, y: -136.4871807940151
x: 80.73576277213022, y: -136.30258077347645
x: 82.72722525794745, y: -136.11798075293774
x: 84.70753121610232, y: -135.83800162497243
x: 86.6878371742572, y: -135.55802249700707
x: 88.66814313241218, y: -135.27804336904177
x: 90.64844909056706, y: -134.99806424107646
x: 92.62875504872193, y: -134.71808511311116
x: 94.6090610068768, y: -134.4381059851458
x: 96.58936696503167, y: -134.1581268571805
x: 98.56967292318666, y: -133.8781477292152
x: 100.54997888134153, y: -133.59816860124988
x: 102.5302848394964, y: -133.31818947328452
x: 104.51059079765128, y: -133.03821034531921
x: 106.49089675580615, y: -132.7582312173539
x: 108.47120271396113, y: -132.4782520893886
x: 110.451508672116, y: -132.19827296142324
x: 112.43181463027088, y: -131.91829383345794
x: 114.41212058842575, y: -131.63831470549263
x: 116.39242654658074, y: -131.35833557752733
x: 118.37273250473561, y: -131.07835644956197
x: 120.35303846289048, y: -130.79837732159666
x: 122.33334442104535, y: -130.51839819363136
x: 124.31365037920023, y: -130.23841906566605
x: 126.27422899417991, y: -129.84328428551584
x: 128.2348076091596, y: -129.44814950536562
x: 130.19538622413927, y: -129.05301472521546
x: 132.15596483911895, y: -128.65787994506525
x: 134.11654345409863, y: -128.26274516491503
x: 136.0771220690783, y: -127.86761038476482
